GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
NCD_BMI_PLUS2C,"Obesity among children and adolescents, BMI-for-age > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2015,2015,2015,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_BTSX,Both sexes,18.316767,18.3 [15.3-21.6],15.304448,21.585248
NCD_BMI_PLUS2C,"Obesity among children and adolescents, BMI-for-age > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2014,2014,2014,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_BTSX,Both sexes,17.990451,18.0 [15.1-21.1],15.078518,21.148595
NCD_BMI_18A,"Underweight among adults, BMI < 18.5 kg/m2 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-underweight-among-adults-bmi-18-%28age-standardized-estimate%29-%28-%29,2017,2017,2017,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_BTSX,Both sexes,2.7410174,2.7 [2.0-3.7],1.983274,3.6576748
NCD_BMI_PLUS2C,"Obesity among children and adolescents, BMI-for-age > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2016,2016,2016,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_FMLE,Female,14.975372,15.0 [8.1-23.5],8.0742955,23.52117
NCD_BMI_18C,"Underweight among adults, BMI < 18.5 kg/m2 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-underweight-among-adults-bmi-18-%28crude-estimate%29-%28-%29,2016,2016,2016,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_BTSX,Both sexes,2.544722,2.5 [1.8-3.4],1.8325284,3.4130022
NCD_BMI_18C,"Underweight among adults, BMI < 18.5 kg/m2 (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-underweight-among-adults-bmi-18-%28crude-estimate%29-%28-%29,2010,2010,2010,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_BTSX,Both sexes,2.564152,2.6 [1.9-3.4],1.8995577,3.3752598
NCD_BMI_PLUS2C,"Obesity among children and adolescents, BMI-for-age > +2 standard deviations above the median (crude estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-obesity-among-children-and-adolescents-bmi-2-standard-deviations-above-the-median-%28crude-estimate%29-%28-%29,2020,2020,2020,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_BTSX,Both sexes,20.673044,20.7 [17.1-24.4],17.092395,24.378608
NCD_BMI_18A,"Underweight among adults, BMI < 18.5 kg/m2 (age-standardized estimate) (%)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/prevalence-of-underweight-among-adults-bmi-18-%28age-standardized-estimate%29-%28-%29,1996,1996,1996,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEX,SEX_MLE,Male,4.2264998,4.2 [2.7-6.1],2.6618797,6.1293554
NUTRITION_ANAEMIA_CHILDREN_NUM,Number of children aged 6-59 months with anaemia (thousands),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-children-under-5-years-number,2008,2008,2008,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEVERITY,SEVERITY_MILD,Mild,55.5,55.5 [27-97.2],27,97.2
NUTRITION_ANAEMIA_CHILDREN_PREV,Prevalence of anaemia in children aged 6-59 months (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/anaemia-in-non-pregnant-women-number-%28in-thousands%29,2011,2011,2011,EMR,Eastern Mediterranean,ARE,United Arab Emirates,SEVERITY,SEVERITY_MODERATE,Moderate,4.8,4.8 [1.5-12.8],1.5,12.8
